微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iw7JZzbRc,#夺取双胜利 我们在行动#【助力企业复工复产 打造“江苏样本”】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。时不我待，随着全国各地陆续进入“复工进行时”，江苏也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，有力推动着我省经济活动的全面恢复，打造抗疫情稳生产的“江苏样本”。今天，我们聚焦南京、镇江、盐城，一起来看→ http://t.cn/A672ntqj 原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gcav7upy6wj20hs0vktcd.jpg,无,无,2020-02-27 12:52,无,67,24,47
Iw7iR3VSs,钟南山：#预测4月底疫情基本控制# 转！加油！人民日报的微博视频  ,,无,无,无,2020-02-27 11:45,微博视频号,95,44,33
Iw76MiJlJ,【韩国飞南京OZ349航班3名旅客排除新冠病毒感染】据市卫健委，2月25日，韩国飞南京OZ349航班3名发热旅客，经我市专业卫生机构两次检测，3名发热旅客口腔咽拭子新型冠状病毒核酸检测均为阴性，排除新型冠状病毒感染。根据国家疫情防控工作方案规定，2月27日上午对该航班94名留置观察人员解除留观。对该航班留宁人员，按规定仍将进行居家医学观察14天。 原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gcasfc2zslj20p00dw77i.jpg,无,无,2020-02-27 11:15,无,25195,254,1820
Iw6IAFjUq,教育部官网昨天发布《关于拟同意设置本科高等学校的公示》，拟同意6所独立学院转设为独立设置的民办本科学校，其中，拟同意中国传媒大学南广学院转设为南京传媒学院。 #中传南广学院拟转设为南京传媒学院#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gcaqpc4nhsj20ji0gi76s.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gcaqpceataj20qy0btjsc.jpg",无,无,2020-02-27 10:16,无,1082,48,416
Iw6n1xVw0,2月26日南京市无新增确诊病例2月26日南京市无新增确诊病例  ,,无,无,无,2020-02-27 09:23,微博 weibo.com,858,51,209
Iw5AFbj8M,早！满园春色关不住，玄武湖樱洲的樱桃花开了。线上观赏，也很美 摄影：@毛毛熊Tinybear #最南京 全民拍#  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62gy1gcalpv9yz7j21jk110e81.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gcalpwoq18j21jk111x6p.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcalpyjy6pj21jk111u0b.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcalpzt9x3j21jk111npd.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gcalq0mkmej21jk111hc7.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcalq1yz0lj21jk110u0x.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gcalpu39poj21jk0yw4qq.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gcalq3m507j21jk1107wi.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gcalq4xt4nj21111jku0x.jpg",无,无,2020-02-27 07:23,无,317,73,75
Iw20r2bsz,孩子该打疫苗了怎么办？婴儿怎么做好防护？你关心的问题有了权威回答！戳图查看↓#国务院联防联控机制权威发布#  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gca5wg25noj20ku0tgdis.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gca5wgbcmsj20ku0w7wi0.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gca5wgmzxqj20ku1a2jws.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gca5wgv42ij20ku13yq79.jpg",无,无,2020-02-26 22:16,无,85,41,48
Iw1BFjtoK,#小布说天气#前两天（特别是24日）20℃+的气温让人仿佛一只脚已经迈进了春天，明晨气温将直接打3折（5℃到6℃）！气温变化幅度大，特殊时期更需注意保暖，增强免疫力。一个来自灵魂深处的拷问：你们最近在家锻炼了嘛？  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gca44xsbbhj20730733yg.jpg,无,无,2020-02-26 21:15,无,160,9,74
Iw18DcLCf,【南京长江五桥节后第一“吊”！】昨天中午，江边细雨蒙蒙，南京长江五桥南塔两侧，对称的两块巨型钢梁同步起吊，这也是五桥复工后首次吊装施工，预计整个主桥将于6月份合龙，力保完成年内建成通车的任务扬子晚报的微博视频  ,,无,无,无,2020-02-26 20:03,微博视频号,113,22,40
Iw0Epv7AK,无论是过去还是现在，都有无数平凡英雄与病毒正面对抗，守望生命和希望。我们也都相信：凛冬散尽，星河长明。  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gc9zwvwwxdj20u01gqtbg.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc9zwxhswwj20u01gqwiz.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9zwz6vjpj20u01gqtby.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc9zx0llf0j20u01gq0vv.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc9zx1xuu4j20u01gqn0q.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gca11lxjlfj219z28ukjm.jpg",无,无,2020-02-26 18:49,无,190,56,29
Iw0koF3BD,【今早，南京再恢复6条客运班线！】今天上午，南京汽车客运南站新增恢复宿迁、泗洪、兴化、姜堰、泗阳、句容等6条客运班线，同时适当增开发往扬州、郎溪的班次，以满足旅客的出行需求。截至2月26日，南京已有14条客运班线复班。注：南京至泗洪每天发2班；南京至兴化、姜堰每天发4班；南京至泗阳、句容每天发6班；南京至宿迁每天发9班；南京至扬州增开4班，每天发8班；南京至郎溪增开3班，每天发9班。 [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9yhqgcq9j21400u0juw.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9yhriu9xj21400u00x9.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc9yhsg1asj21400u0jva.jpg",无,无,2020-02-26 18:00,无,295,13,67
IvZX86NdJ,【最美逆行者：医无反顾，为生命全力以赴】她们是这个冬天最勇敢的人，她们是谁的妻子是谁的女儿又是谁的妈妈，她们是抗疫战场的一抹鲜红，千言万语，已经泪目，等你们，一定平安归来。#百城行动战疫情# @微博政务 @新浪江苏  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gc9wu2xlgvj20ku112tfb.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gc9wu2z5s1j20ku1120z9.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gc9wu2z7pmj20ku1120zi.jpg",无,无,2020-02-26 17:02,微博 weibo.com,192,8,34
IvZiv3DhS,"【助力企业复工复产的“江苏速度”】时不我待，随着全国各地陆续进入“复工进行时”，江苏也在持续发力。在一系列政策组合拳下，无锡工业企业加快复工复产步伐，逐步恢复往日生机。为实现早日复工和尽快投产，高邮高新区所有复工企业均采取了有针对性的举措，确保生产安全、人员安全。徐州市在抓好疫情防控的同时，积极创新方式抓招商、上项目、促发展。以""不见面""方式招商引资，取得明显成效。详戳→ http://t.cn/A67zq1Jr #夺取双胜利 我们在行动# 原图 ",,http://wx1.sinaimg.cn/large/7cfe0d62gy1gc9txy6yinj20hs0vkq76.jpg,无,无,2020-02-26 15:22,微博 weibo.com,22,43,20
IvYY12N1G,【看饿了！#江苏为援鄂医疗队派出大厨团#】盐水鸭、茄汁虾仁、金陵大肉包……根据江苏省商务厅对生活服务保障工作的安排，江苏派出7位大厨和30位餐饮员工，带着30吨食材赶赴武汉，为江苏医疗队队员们配送江苏特色加餐。目前已实现对在武汉江苏医疗队21个供餐点、2200人的全覆盖网友：看饿了！http://t.cn/A67ztTMG ,,无,无,无,2020-02-26 14:32,微博视频号,280,33,57
IvXMutE5c,【前进！朝着“零感染 打胜仗”的战略目标 ——江苏医疗队武汉战疫“满月”】#江苏湖北心手相牵# 1月25日深夜，江苏首批147名医疗队员抵达武汉，江苏援湖北战“疫”大幕就此正式拉开。迄今，他们在湖北战斗已整整一个月……一个月来，他们以异乡为故乡，视患者为亲人，前进、前进、再前进！在2020年的春天，在武汉战场上，书写一阙荡气回肠的战疫史诗。 [组图共5张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62gy1gc9n8um6tlj21i60tsafe.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gc9n8v3h36j20sg0lc0vt.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gc9n8vi89uj20zk0qogpa.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gc9n8vwfzvj21400u0djf.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gc9n8wacs1j20hs0dc770.jpg",无,无,2020-02-26 11:31,无,127,15,61
IvXpX4P7E,【极限穿刺！南京95后ICU护师冒着被误伤风险救治武汉重症患者】湖北战“疫”一线，南京医疗队一名95后ICU护师吴罡，一名重症插管患者前几次留置动脉导管没有成功的情况下挺身而出，面对病患的复杂情况，在各种困难的压力下终于完成操作。金陵晚报的微博视频  ,,无,无,无,2020-02-26 10:35,微博视频号,144,20,38
IvX562d6X,南京连续7天无确诊！ 2月25日南京市无新增确诊病例  ,,无,无,无,2020-02-26 09:44,微博 weibo.com,230,85,335
IvWsPtQNw,【#戴口罩起痘痘怎么办#】北京协和医院皮肤科主任医师刘洁表示，面部因口罩形成封闭环境，皮肤潮湿细菌滋生造成痘痘加重。若出现轻微痤疮，可外用维A酸软膏（睡前使用），若痤疮加重，可外用抗生素，如夫西地酸软膏、莫匹罗星软膏。 人民日报的微博视频  ,,无,无,无,2020-02-26 08:09,微博视频号,31,26,61
IvW5bfiyT,【转发！敬畏大自然，#拒绝吃野味#！】2月24日，全面禁止食用野生动物的制度被确立。明确全面禁止食用野生动物，严厉打击非法野生动物交易。管住自己的嘴，别让一“食”之快，演变一世之殇。#它们不是野味#，它们是我们共同的朋友↓↓  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gc9fqzi0iyj20i00rigqp.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc9fqzw30gj20i00ridl0.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc9fr0be8cj20i00riwiz.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9fr0kaopj20i00rigpy.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc9fr0w4h8j20i00rijx6.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9fr16go2j20i00riwiz.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc9fr1jgl3j20i00rigpo.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc9fr1uv8jj20i00riwj5.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc9fr27z2jj20i00ri78m.jpg",无,无,2020-02-26 07:11,无,114,90,54
IvSwgkEVr,关于追授袁剑雄同志和授予易永祥、杜雪飞同志 “先进个人”称号的决定 决 定  ,,无,无,无,2020-02-25 22:07,微博 weibo.com,351,32,53
IvRpVgJNB,【父亲“请战”被拒绝后 #女儿替医生父亲出征湖北#】“女儿出征，我有种花木兰代父从军的自豪感！”驰援湖北的女医生邹天慧，其父是南京鼓楼医院副院长、消化科主任邹晓平。在邹晓平两次“请战”武汉被拒绝后，邹天慧决定替父出征。邹晓平在信中对女儿说：“轮到你们来保护世界了！莫惧妖风肆虐声，何妨长啸且疾行，勇气仁心终无敌，谁怕？一任风雨写平生！” 原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62gy1gc8rfyqq11j20hs0i1wfl.jpg,无,无,2020-02-25 19:19,微博 weibo.com,281,29,23
IvQHnziHq,#夺取双胜利 我们在行动##共同战疫##抗击新型肺炎我们在行动#【国有难、召必应、战必胜！黄英姿：江苏援黄石医疗队专家的责任与担当】2月11日，江苏组建医疗支援队奔赴黄石，东南大学附属中大医院副院长、重症医学科主任医师黄英姿担任医疗救治及专家组组长。在重症救治的专业领域，黄英姿多次临危受命。再次挂帅出征，黄英姿深知，新冠肺炎患者救治是一个全新领域，在未知面前，能做的就是竭尽全力。一起来看她的故事→ http://t.cn/A67P7b4x @微博江苏 [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gc8rz918t2j20d30ewjsw.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc8rz9eg0qj20hw0dfmze.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc8rz8t9ubj20cf096ab5.jpg",无,无,2020-02-25 17:29,无,102,10,8
IvQbre3Qg,疫情不掩芳华！鸡鸣寺路的“消息树”开了！此树为樱桃花，并非樱花，真正的樱花盛开还需半个月左右。沾衣不湿樱花雨，还是来一场“云赏花”吧！ #鸡鸣寺消息树开花#  [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gc8pp18p4uj21o00u07wi.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gc8pp2kqq5j20u01o0x6p.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gc8pp3vxe0j21400u0hdu.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gc8pp4tfzmj20u0140npd.jpg",无,无,2020-02-25 16:10,无,321,76,91
IvPzn9Ph8,【#江苏省一级响应调整为二级# 意味着什么？】在持续拉响31天一级警报后，昨日，江苏将疫情防控调整为二级响应。一级响应调整为二级响应，区别在哪儿？应急响应什么时候结束？详戳↓ 江苏一级响应调整为二级响应，区别在哪儿？  ,,无,无,无,2020-02-25 14:36,微博 weibo.com,356,165,118
IvPrwqtuQ,【救命机器来了！#4台ECMO设备运抵武汉#】今天上午，国家调拨的4台ECMO设备由邮航包机紧急从南京飞往武汉。国家卫健委紧急从成都和长春分别调用2台ECMO设备，到南京统一集装后驰援武汉。ECMO是目前针对严重心肺功能衰竭最核心的支持手段，被誉为重症患者的“最后救命稻草”。人民日报的微博视频  ,,无,无,无,2020-02-25 14:17,微博视频号,98,5,22
IvOWuvlKy,网友AliceLee_cat每天以漫画的形式记录下在方舱医院辛勤工作的医护工作者，真的是非常可爱的一群人啊当时我就震惊了的微博视频  ,,无,无,无,2020-02-25 13:01,微博视频号,273,56,28
IvOy8uIOB,【南京这些书店恢复营业了】随着复工复产的有序展开，南京很多书店也陆续恢复营业啦！截止2月24日，南京市区内已经恢复营业的书店及营业时间见下图↓ 友情提醒：为了您和他人的健康，请佩戴口罩进入书店，并配合测量体温。选书过程中请不要摘下口罩，与店员、店内读者保持安全接触距离，结账勿拥挤。  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gc8hq0xthhj20c80emqay.jpg,无,无,2020-02-25 12:01,微博 weibo.com,81,48,31
IvO8TCn9k,【#听到世卫专家评价翻译小姐姐哽咽了#】在昨天的发布会上，中国-世卫组织联合考察组外方组长布鲁斯•艾尔沃德对中国战疫的评价，让翻译哽咽了：“我们要认识到武汉人民所做的贡献，世界欠你们的。当这场疫情过去，希望有机会代表世界再一次感谢武汉人民，我知道在这次疫情过程中，中国人民奉献很多。”http://t.cn/A6hFw2FC ,,无,无,无,2020-02-25 10:58,微博视频号,157,9,27
IvNFMqVRt,2月24日南京市无新增确诊病例 2月24日南京市无新增确诊病例  ,,无,无,无,2020-02-25 09:47,微博 weibo.com,622,65,95
IvNuz802Z,【#0增长地区再观察28天才能放心#】被网友称为“福尔摩斯”的天津疾控中心副主任张颖：新冠肺炎最长潜伏期是14天。如果一个地区出现了零增长，要观察两个14天也就是28天。28天以后，若真的再没有(新增)病例，这时就可以百分之百地放心了。再坚持一下，快了！ 央视新闻的微博视频  ,,无,无,无,2020-02-25 09:19,微博视频号,298,61,61
IvMPukAV9,【湖北保卫战MV：疫情不退，我们不退】岁末年初，疫情肆虐。19个省份对口支援湖北各地。“随州，江西来了！”“襄阳，辽宁来了！”“黄石，南京来了！”……41600多名白衣战士逆风而行，打响史无前例的湖北保卫战。这座城我们一起守！湖北加油，武汉加油，中国加油！人民日报的微博视频  ,,无,无,无,2020-02-25 07:38,微博视频号,120,33,19
IvKucwHCy,南京：确保“两个战场”同时作战、同时打赢！  [组图共7张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gc80jysuumj20ku11276w.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gc80jyqaq0j20ku112whf.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc80jysiu1j20ku112acu.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc80jyqgj7j20ku11276z.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gc80jyr23bj20ku112jty.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc80jyp817j20ku112416.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc80jyltsbj20ku112tbm.jpg",无,无,2020-02-25 01:40,微博 weibo.com,117,92,61
IvJINhwF1,【江苏将疫情防控一级响应调整为二级响应】根据国家有关法律法规规定和当前新冠肺炎疫情防控形势，江苏省人民政府研究决定，自2020年2月24日24时起，将疫情防控应急响应级别由突发公共卫生事件一级响应调整为二级响应。各地要继续按照分区分级防控工作要求，根据地区特点和疫情形势，制定有针对性的防控方案，科学防控、精准施策，统筹推进疫情防控和经济社会发展工作。 原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gc7x6gjbs8j20p00dwdgk.jpg,无,无,2020-02-24 23:43,微博 weibo.com,1370,502,257
IvJbsBhHm,蔬菜瓜果出大片！这个也太强了！！来源：轩宝爸爸当时我就震惊了的微博视频  ,,无,无,无,2020-02-24 22:21,微博视频号,252,79,27
IvIEPBKFA,【南京又一批旅游景点向全国医务工作者免费开放！】南京古生物博物馆、南京中山植物园、紫金山天文台紫金山园区、金牛湖野生动物王国……最近，南京又有多家景区响应市文旅局等部门的倡议，宣布对全国医务工作者免费开放️！ 南京又一批旅游景点向全国医务工作者免费开放！  ,,无,无,无,2020-02-24 21:01,微博 weibo.com,146,365,38
IvIwToEeh,【#夺取双胜利 我们在行动#】当前，新冠肺炎疫情防控工作到了关键阶段，全国各地在中央的统一部署安排下，科学防治、精准施策、分区分级做好防控，打出政策“组合拳”，在确保安全的前提下积极支持和推动各类企业复工复产，力争如期实现全年目标任务。@微博江苏 将与江苏13个设区市发布号同步推出“夺取双胜利 我们在行动”联动发布活动。请持续关注！ 原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gc7rwtab0ej20c80lpdi8.jpg,无,无,2020-02-24 20:41,无,46,3,13
IvHRHrGWj,#28年前南医大女生被杀案告破#，抓捕视频公布！（来源：@平安南京 ）平安南京的微博视频  ,,无,无,无,2020-02-24 19:00,微博视频号,684,60,92
IvHJR3Zdo,【5人出院！】今天下午，又有5名新冠肺炎确诊患者治愈出院，截至目前南京共有57名确诊患者出院。  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gc7ofbzrl1j21900tzn1q.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gc7ofbqlisj21900tz0yz.jpg",无,无,2020-02-24 18:40,无,306,28,63
IvHxTDNxf,【江苏医生的武汉“闯关”记】邱海波是国家卫健委专家组成员、东南大学附属中大医院副院长、著名重症医学专家。自1月19日奔赴武汉，他已经在武汉37天了。对于一名ICU医生而言，挽救生命，就像是闯关。这37天，邱海波在武汉经历了什么？来看他的“闯关”记！#夺取双胜利 我们在行动#  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62ly1gc7nkoua8uj20dc20a164.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc7nkob75nj20dc0tw43t.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gc7nknkip4j20dc1c2477.jpg",无,无,2020-02-24 18:11,无,107,22,12
IvGZG0AXn,【祖孙三代医生情：长大后我就成了你】41岁的罗银花是南京百家湖社区卫生服务中心的医务人员，自疫情防控战开始以来，便投入了一线工作。72岁的母亲是名退休医生，特地写了一张纸条为女儿加油。22岁的侄女是南医大的一名学生，得知需要志愿者后，主动报名参加……一家三代，无悔付出。小时候，我骄傲有你，长大后，我更想成为你的骄傲！http://t.cn/A6hrFpld ,,无,无,无,2020-02-24 16:46,微博视频号,85,3,8
IvGqPE4J1,【是想二刷《今日说法》吗？】2月10日，南京某企业老总报警公司被盗近2000万元，警方锁定失联的财务主管索某。经查，索某真名为詹某，曾因盗走前公司704万元，上过《今日说法》。谁知詹某出狱后故技重施，在南京得手后改名变装潜逃。民警在贵州抓获詹某，追回1961万元。@江苏新闻 http://t.cn/A6hrTD5Y ,,无,无,无,2020-02-24 15:21,微博视频号,65,7,17
IvFT75XSk,看似“穿越”的巧合，其实是永恒的真情。  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gc7g9746o1j20m810ihdt.jpg,无,无,2020-02-24 13:58,无,273,31,11
IvF6xs2bb,【#南京部分理发店复工#：开门前半小时员工先消毒 顾客通过预约分时服务】近日，南京部分理发店复工，员工要在开门前对店内设施进行消毒。理发店采取预约分时服务，同时段最多只接待少量顾客。顾客进门时被要求佩戴口罩、检测体温、并留下身份证号码和手机号码等个人信息。此外，江苏省美发美容协会制定规范，目前只提供洗剪吹服务，同时严禁涨价。http://t.cn/A6heVdgw ,,无,无,无,2020-02-24 11:58,微博视频号,93,12,46
IvEAZ0hzQ,少年强则国强孩子们的内心永远是最纯净的 当时我就震惊了的微博视频  ,,无,无,无,2020-02-24 10:40,微博视频号,713,113,79
